WKT,fid,gid,streetname,note
"LINESTRING (652561.600111133 6862654.06424519,652597.46262639 6862637.7630855)","1080","1080",IMP BEAUBOURG,
"LINESTRING (652192.815998199 6862679.16249636,652264.608335208 6862654.55970707)","1081","1081",R RAMBUTEAU,
"LINESTRING (652362.331068811 6862740.7375242,652381.76635409 6862792.57356453)","1082","1082",BD DE SEBASTOPOL,
"LINESTRING (652381.76635409 6862792.57356453,652413.469516767 6862876.30616216)","1083","1083",BD DE SEBASTOPOL,
"LINESTRING (652165.121100132 6862596.39629605,652172.355697577 6862624.33512837)","1084","1084",R PIERRE LESCOT,
"LINESTRING (652413.469516767 6862876.30616216,652515.082995782 6862830.45286829)","1087","1087",R DU BOURG L'ABBE,
"LINESTRING (652182.564846208 6862649.24902046,652192.815998199 6862679.16249636)","1088","1088",R PIERRE LESCOT,
"LINESTRING (652296.504596981 6862761.29031837,652362.331068811 6862740.7375242)","1089","1089",R DU CYGNE,
"LINESTRING (652253.348851599 6862623.6547281,652264.608335208 6862654.55970707)","1090","1090",R SAINT-DENIS,
"LINESTRING (652178.816825467 6862798.27854605,652228.686669582 6862782.85979704)","1092","1092",R DU CYGNE,
"LINESTRING (652282.08573542 6862711.41210767,652296.504596981 6862761.29031837)","1093","1093",R SAINT-DENIS,
"LINESTRING (652213.28471722 6862734.9898023,652282.08573542 6862711.41210767)","1094","1094",R DE LA GRANDE TRUANDERIE,
"LINESTRING (652282.08573542 6862711.41210767,652343.912518245 6862690.89293405)","1095","1095",R DE LA GRANDE TRUANDERIE,
"LINESTRING (652311.982193086 6862818.1595665,652381.76635409 6862792.57356453)","1096","1096",R ETIENNE MARCEL,
"LINESTRING (652213.28471722 6862734.9898023,652228.686669582 6862782.85979704)","1099","1099",R PIERRE LESCOT,
"LINESTRING (652228.686669582 6862782.85979704,652243.038315295 6862824.73870624)","1101","1101",R PIERRE LESCOT,
"LINESTRING (652243.038315295 6862824.73870624,652241.206485751 6862844.75385087)","1102","1102",R PIERRE LESCOT,
"LINESTRING (652150.945521077 6862694.51402199,652192.815998199 6862679.16249636)","1103","1103",R RAMBUTEAU,
"LINESTRING (652241.206485751 6862844.75385087,652311.982193086 6862818.1595665)","1108","1108",R ETIENNE MARCEL,
"LINESTRING (652319.31764803 6862858.09744991,652315.401986868 6862868.1302278)","1109","1109",R SAINT-DENIS,
"LINESTRING (652319.31764803 6862858.09744991,652365.204632817 6862844.712075)","1111","1111",IMP DES PEINTRES,
"LINESTRING (652311.982193086 6862818.1595665,652319.31764803 6862858.09744991)","1112","1112",R SAINT-DENIS,
"LINESTRING (652244.020279829 6863298.72555365,652304.839048734 6863277.21478222)","1128","1128",R DU CAIRE,
"LINESTRING (652572.582490844 6863008.96762055,652646.324364342 6862978.34822169)","1129","1129",R CUNIN-GRIDAINE,
"LINESTRING (652413.469516767 6862876.30616216,652424.720662715 6862906.21127357)","1130","1130",BD DE SEBASTOPOL,
"LINESTRING (652839.334131305 6863098.72468369,652880.187933131 6863081.38143555)","1131","1131",R BORDA,
"LINESTRING (652424.720662715 6862906.21127357,652456.810455097 6862916.94150936)","1133","1133",R DE TURBIGO,
"LINESTRING (652753.15616318 6863077.44927464,652735.854980147 6863041.59506309,652747.677514346 6863020.49591505)","1134","1134",R VAUCANSON,
"LINESTRING (652809.764931952 6863030.97393107,652863.920252229 6863049.5185112)","1135","1135",R DE TURBIGO,
"LINESTRING (652799.547217061 6863005.06009329,652837.434857914 6862991.74176134)","1136","1136",R REAUMUR,
"LINESTRING (652919.167595395 6862960.05503974,652987.960201303 6862935.47698101,653019.915545758 6862930.20838126)","1138","1138",R REAUMUR,
"LINESTRING (652837.434857914 6862991.74176134,652863.920252229 6863049.5185112)","1139","1139",R VOLTA,
"LINESTRING (652837.434857914 6862991.74176134,652919.167595395 6862960.05503974)","1140","1140",R REAUMUR,
"LINESTRING (652863.920252229 6863049.5185112,652880.187933131 6863081.38143555)","1141","1141",R VOLTA,
"LINESTRING (652880.187933131 6863081.38143555,652922.042021849 6863183.02860802)","1142","1142",R VOLTA,
"LINESTRING (652761.517133245 6863239.37746457,652810.378762169 6863222.96690412)","1144","1144",R DU VERTBOIS,
"LINESTRING (652673.759429201 6863268.11481152,652761.517133245 6863239.37746457)","1145","1145",R DU VERTBOIS,
"LINESTRING (652810.378762169 6863222.96690412,652816.353069809 6863219.91671305)","1146","1146",R DU VERTBOIS,
"LINESTRING (652884.145924371 6863195.34706697,652863.769277432 6863150.51877623)","1147","1147",R MONTGOLFIER,
"LINESTRING (652777.784812174 6863271.24045279,652761.517133245 6863239.37746457)","1149","1149",PAS DU VERTBOIS,
"LINESTRING (652816.353069809 6863219.91671305,652884.145924371 6863195.34706697)","1150","1150",R DU VERTBOIS,
"LINESTRING (652941.477617644 6863234.86475069,652951.813067797 6863274.77751726,652959.005856005 6863297.71685592)","1151","1151",PAS DU PONT AUX BICHES,
"LINESTRING (652922.042021849 6863183.02860802,652941.477617644 6863234.86475069)","1152","1152",R VOLTA,
"LINESTRING (652499.395136886 6863105.58164742,652568.196312285 6863082.00371879)","1153","1153",R REAUMUR,
"LINESTRING (652591.144036738 6863075.81093351,652708.773127693 6863031.82278827,652747.677514346 6863020.49591505)","1155","1155",R REAUMUR,
"LINESTRING (652304.839048734 6863277.21478222,652406.528521197 6863240.36071546)","1158","1158",R DU CAIRE,
"LINESTRING (652330.114914423 6862953.00563093,652338.383093381 6862984.93580904)","1160","1160",R SAINT-DENIS,
"LINESTRING (652124.880106369 6862805.73153751,652173.002116714 6862820.32711815)","1163","1163",R DE TURBIGO,
"LINESTRING (652326.938739893 6862932.03255374,652330.114914423 6862953.00563093)","1166","1166",R SAINT-DENIS,
"LINESTRING (652214.299848237 6863331.97495691,652226.080501392 6863305.87620455)","1185","1185",PL DU CAIRE,
"LINESTRING (652966.459240384 6863351.6537606,652953.023141914 6863299.76713494)","1281","1281",PAS DES ORGUES,
"LINESTRING (652409.965293837 6863173.33244975,652479.884075785 6863163.7450353)","1283","1283",R DU PONCEAU,
"LINESTRING (652550.517084588 6863239.15079827,652477.707730785 6863261.76243483,652439.777956857 6863270.08107852)","1284","1284",PAS DU PONCEAU,
"LINESTRING (652459.490856315 6862997.9180813,652551.693435291 6863022.14302448)","1285","1285",R GRENETA,
"LINESTRING (652551.693435291 6863022.14302448,652572.582490844 6863008.96762055)","1286","1286",R CUNIN-GRIDAINE,
"LINESTRING (653231.167315399 6862960.43176625,653267.366182495 6862984.12709752)","1293","1293",R DUPUIS,
"LINESTRING (652381.76635409 6862792.57356453,652432.610881924 6862774.14658026)","1294","1294",R AUX OURS,
"LINESTRING (652810.378762169 6863222.96690412,652824.697040869 6863260.84621592)","2244","2244",,
"LINESTRING (652648.576085597 6862770.33176015,652665.10418859 6862833.1920681)","2345","2345",R BEAUBOURG,
"LINESTRING (653077.623876037 6862657.72657762,652991.664293943 6862543.45090032,653052.230342902 6862491.94244791)","4603","4603",RLE SOURDIS,
"LINESTRING (652233.913648164 6862571.81874028,652253.348851599 6862623.6547281)","5291","5292",R SAINT-DENIS,
"LINESTRING (652289.740878041 6862551.35001848,652322.443830398 6862635.07407109)","5779","5780",BD DE SEBASTOPOL,
"LINESTRING (652760.725992579 6862550.39214359,652817.317980617 6862620.91545158)","5796","5797",R DU TEMPLE,
